origin_district,origin_pcode,destination_district,destination_pcode,same_district,centroid_haversine_km,effective_distance_km,distance_1km_floor_km,distance_disk_proxy_km,destination_population_2022,origin_population_2022,intervening_population_2022,radiation_score_adapted,gravity_fixed_score_pop_over_d2,log_effective_distance_km,log_destination_population_2022
Satkhira,BD4087,Manikganj,BD3056,False,182.558467747298,182.558467747298,182.558467747298,182.558467747298,1558025,2196582,31554789,0.002871707054603432,46.74879900311428,5.207070492932717,14.258929551497186
Satkhira,BD4087,Meherpur,BD4057,False,163.0240791801887,163.0240791801887,163.0240791801887,163.0240791801887,705356,2196582,26767223,0.0018029965893489998,26.540240456700857,5.093897914928327,13.466457918881725
Satkhira,BD4087,Moulvibazar,BD6058,False,367.1325499217708,367.1325499217708,367.1325499217708,367.1325499217708,2123447,2196582,148417592,0.00020275752436162443,15.754174236339875,5.905722954296829,14.568551269629545
Satkhira,BD4087,Munshiganj,BD3059,False,182.64540281118232,182.64540281118232,182.64540281118232,182.64540281118232,1625416,2196582,33112814,0.00273769945497876,48.72446054502374,5.207546583535993,14.301274340983566
Satkhira,BD4087,Mymensingh,BD4561,False,289.32739990425404,289.32739990425404,289.32739990425404,289.32739990425404,5899005,2196582,116468168,0.0008766228049613186,70.46924781921462,5.667558918538602,15.590294250586142
Satkhira,BD4087,Naogaon,BD5064,False,282.65743411472386,282.65743411472386,282.65743411472386,282.65743411472386,2784599,2196582,110415943,0.0004706828795673315,34.85313418790269,5.644235684260382,14.839614435339252
Satkhira,BD4087,Narail,BD4065,False,94.77964658707053,94.77964658707053,94.77964658707053,94.77964658707053,788671,2196582,8500800,0.014099216251495085,87.7941749423558,4.5515546877613415,13.57810452934276
Satkhira,BD4087,Narayanganj,BD3067,False,209.71219513022277,209.71219513022277,209.71219513022277,209.71219513022277,3909138,2196582,60581693,0.0020510449306839727,88.88605464768392,5.345736091344364,15.178827447298536
Satkhira,BD4087,Narsingdi,BD3068,False,245.81879931683247,245.81879931683247,245.81879931683247,245.81879931683247,2584452,2196582,89785638,0.0006526403161574885,42.769904888141944,5.504594676375071,14.765024051188075
Satkhira,BD4087,Natore,BD5069,False,222.23996950126332,222.23996950126332,222.23996950126332,222.23996950126332,1859922,2196582,64490831,0.0008937328206679823,37.65740541148261,5.403757741772687,14.436045109326196
