sample,candidate_universe,validation_scheme,model,n_events_evaluated,n_folds_evaluated,all_folds_converged,selected_lambda_median,selected_lambda_min,selected_lambda_max,mean_log_loss,top1_accuracy,top3_accuracy,top5_accuracy,mean_rank,mean_reciprocal_rank,gravity_mean_log_loss,log_loss_improvement_vs_gravity
household_relocation,full_64,location_grouped_5fold,gravity_mle_disk_within,264,5,True,0.0,0.0,0.0,1.7255898511548569,0.5984848484848485,0.7992424242424242,0.8636363636363636,3.287878787878788,0.7192846967846968,1.7255898511548569,0.0
household_relocation,full_64,location_grouped_5fold,gis_joint_ridge,264,5,True,0.1,0.1,1.0,1.7135064195538614,0.5984848484848485,0.8333333333333334,0.8674242424242424,3.2196969696969697,0.7261823103985536,1.7255898511548569,0.012083431600995453
household_relocation,full_64,location_grouped_5fold,gis_joint_unpenalized,264,5,True,0.0,0.0,0.0,1.7118886845874481,0.5984848484848485,0.8333333333333334,0.875,3.2045454545454546,0.7264634369374202,1.7255898511548569,0.013701166567408718
household_relocation,full_64,location_grouped_5fold,radiation_adapted,264,5,True,0.0,0.0,0.0,1.880095153704364,0.4356060606060606,0.803030303030303,0.821969696969697,3.640151515151515,0.6353853233005983,1.7255898511548569,-0.15450530254950712
household_relocation,interdistrict_63,location_grouped_5fold,gravity_mle_disk_within,107,5,True,0.0,0.0,0.0,2.618384693764596,0.40186915887850466,0.6635514018691588,0.7009345794392523,5.5046728971962615,0.5526497638139247,2.618384693764596,0.0
household_relocation,interdistrict_63,location_grouped_5fold,gis_joint_ridge,107,5,True,0.01,0.001,0.1,2.3268594710018724,0.37383177570093457,0.6542056074766355,0.7663551401869159,5.719626168224299,0.5527637977357208,2.618384693764596,0.2915252227627234
household_relocation,interdistrict_63,location_grouped_5fold,gis_joint_unpenalized,107,5,True,0.0,0.0,0.0,2.325475598905771,0.37383177570093457,0.6355140186915887,0.7663551401869159,5.682242990654205,0.5512352345419241,2.618384693764596,0.29290909485882466
household_relocation,interdistrict_63,location_grouped_5fold,radiation_adapted,107,5,True,0.0,0.0,0.0,2.6338118273242004,0.42990654205607476,0.5607476635514018,0.6448598130841121,6.121495327102804,0.5351743138081062,2.618384693764596,-0.015427133559604567
household_relocation,full_64,location_grouped_5fold,nested_gravity,264,5,True,0.0,0.0,0.0,1.7565135830437806,0.5984848484848485,0.8295454545454546,0.875,3.227272727272727,0.7227181596978248,1.7255898511548569,-0.030923731888923722
household_relocation,full_64,location_grouped_5fold,nested_gis_ridge,264,5,True,0.01,0.001,0.1,1.6711726835752638,0.5946969696969697,0.8295454545454546,0.8977272727272727,3.3181818181818183,0.7232175440380898,1.7255898511548569,0.05441716757959303
household_relocation,full_64,leave_one_origin_out,gravity_mle_disk_within,264,7,True,0.0,0.0,0.0,1.7670636087487575,0.45075757575757575,0.8143939393939394,0.8636363636363636,3.4393939393939394,0.6439452908202907,1.7670636087487575,0.0
household_relocation,full_64,leave_one_origin_out,gis_joint_ridge,264,7,True,0.1,0.01,1.0,2.045401855781383,0.2765151515151515,0.6818181818181818,0.7613636363636364,4.143939393939394,0.5225414631583982,1.7670636087487575,-0.27833824703262566
household_relocation,full_64,leave_one_origin_out,gis_joint_unpenalized,264,7,True,0.0,0.0,0.0,2.062020453827257,0.2765151515151515,0.6818181818181818,0.7613636363636364,4.136363636363637,0.5225536600085398,1.7670636087487575,-0.2949568450784996
household_relocation,full_64,leave_one_origin_out,radiation_adapted,264,7,True,0.0,0.0,0.0,1.880095153704364,0.4356060606060606,0.803030303030303,0.821969696969697,3.640151515151515,0.6353853233005983,1.7670636087487575,-0.11303154495560652
household_relocation,interdistrict_63,leave_one_origin_out,gravity_mle_disk_within,107,6,True,0.0,0.0,0.0,2.7734705365227272,0.17757009345794392,0.6448598130841121,0.6728971962616822,5.953271028037383,0.42559287830134085,2.7734705365227272,0.0
household_relocation,interdistrict_63,leave_one_origin_out,gis_joint_ridge,107,6,True,0.055,0.001,0.1,2.4969873641113813,0.411214953271028,0.6261682242990654,0.7289719626168224,5.878504672897196,0.5658311469806542,2.7734705365227272,0.2764831724113459
household_relocation,interdistrict_63,leave_one_origin_out,gis_joint_unpenalized,107,6,True,0.0,0.0,0.0,2.513850155461669,0.411214953271028,0.6261682242990654,0.7757009345794392,5.794392523364486,0.5683975317900297,2.7734705365227272,0.2596203810610582
household_relocation,interdistrict_63,leave_one_origin_out,radiation_adapted,107,6,True,0.0,0.0,0.0,2.6338118273242004,0.42990654205607476,0.5607476635514018,0.6448598130841121,6.121495327102804,0.5351743138081062,2.7734705365227272,0.13965870919852685
household_relocation,full_64,leave_one_origin_out,nested_gravity,264,7,True,0.0,0.0,0.0,1.90996705160837,0.45075757575757575,0.8106060606060606,0.8636363636363636,3.5568181818181817,0.630066871075643,1.7670636087487575,-0.14290344285961254
household_relocation,full_64,leave_one_origin_out,nested_gis_ridge,264,7,True,0.01,0.001,0.1,2.0906430283919417,0.4810606060606061,0.7196969696969697,0.7765151515151515,4.265151515151516,0.6246614211644338,1.7670636087487575,-0.32357941964318426
household_relocation,full_64,temporal_w12plus_holdout,gravity_mle_disk_within,181,1,True,0.0,0.0,0.0,1.6570321959577874,0.6132596685082873,0.7955801104972375,0.856353591160221,3.18232044198895,0.7266714611177738,1.6570321959577874,0.0
household_relocation,full_64,temporal_w12plus_holdout,gis_joint_ridge,181,1,True,1.0,1.0,1.0,1.5385229027327907,0.6132596685082873,0.8176795580110497,0.861878453038674,3.0828729281767955,0.7311486917011779,1.6570321959577874,0.1185092932249967
household_relocation,full_64,temporal_w12plus_holdout,gis_joint_unpenalized,181,1,True,0.0,0.0,0.0,1.5209515486178247,0.6132596685082873,0.856353591160221,0.861878453038674,2.9668508287292816,0.7387399609157388,1.6570321959577874,0.13608064733996272
household_relocation,full_64,temporal_w12plus_holdout,radiation_adapted,181,1,True,0.0,0.0,0.0,1.8704813012292567,0.425414364640884,0.8066298342541437,0.8176795580110497,3.6464088397790055,0.6309819037225934,1.6570321959577874,-0.21344910527146932
household_relocation,interdistrict_63,temporal_w12plus_holdout,gravity_mle_disk_within,72,1,True,0.0,0.0,0.0,2.479269693373843,0.4027777777777778,0.6527777777777778,0.6805555555555556,5.430555555555555,0.5492251528664573,2.479269693373843,0.0
household_relocation,interdistrict_63,temporal_w12plus_holdout,gis_joint_ridge,72,1,True,0.1,0.1,0.1,2.1012168490142056,0.4027777777777778,0.6805555555555556,0.7777777777777778,4.944444444444445,0.5793745727956254,2.479269693373843,0.3780528443596376
