district,district_name_geometry_raw,district_pcode,division,division_name_geometry_raw,central_lon,central_lat,central_point_method,polygon_centroid_inside,area_km2_approx,within_district_mean_pair_km_mc,within_district_disk_proxy_km,geometry_source,geometry_source_url,population_2022_total,population_source,population_source_url,population_pdf_pages
Rajshahi,Rajshahi,BD5081,Rajshahi,Rajshahi,88.65143988466144,24.465740255963425,polygon_centroid,True,2458.4035881403834,27.177088557960953,25.327903181767866,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2915009,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Rangamati,Rangamati,BD2084,Chattogram,Chittagong,92.27955717836089,22.82997865578069,polygon_centroid,True,5739.729652719572,56.293618231041286,38.70065945466358,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,647586,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Rangpur,Rangpur,BD5585,Rangpur,Rangpur,89.23681345297398,25.649758375584824,polygon_centroid,True,2385.625573212281,26.275538080336013,24.950186004595245,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3169614,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Satkhira,Satkhira,BD4087,Khulna,Khulna,89.13669129289265,22.382241376305345,polygon_centroid,True,3365.9866970088333,44.47439044410585,29.636631790218406,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2196582,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Shariatpur,Shariatpur,BD3086,Dhaka,Dhaka,90.40837734289545,23.247365088415958,polygon_centroid,True,1184.9683305881917,18.67680082122059,17.584337821759714,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1294562,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Sherpur,Sherpur,BD4589,Mymensingh,Mymensingh,90.07447787605021,25.082266685632526,polygon_centroid,True,1343.4066382627934,19.475609534006555,18.72304115058289,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1501853,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Sirajganj,Sirajganj,BD5088,Rajshahi,Rajshahi,89.59968044221479,24.39162970328732,polygon_centroid,True,2513.2971486803144,29.19762415771254,25.609114747784428,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3357706,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Sunamganj,Sunamganj,BD6090,Sylhet,Sylhet,91.34604543207215,24.938567398430756,polygon_centroid,True,3737.694262687117,32.37777222356877,31.2301833385535,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2695496,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Sylhet,Sylhet,BD6091,Sylhet,Sylhet,91.98733437309141,24.91921834153913,polygon_centroid,True,3458.211070317775,31.680117045150826,30.03989395302804,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3857123,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Tangail,Tangail,BD3093,Dhaka,Dhaka,89.99860550188767,24.35630355245225,polygon_centroid,True,3391.0879352968186,32.202770520728414,29.746931453535698,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,4037608,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Thakurgaon,Thakurgaon,BD5594,Rangpur,Rangpur,88.34556890146888,25.990560117722417,polygon_centroid,True,1851.639489756897,23.162051627723546,21.98117298408881,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1533895,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
