district,district_pcode,district_geometry_name,division_geometry_name,district_geodesic_area_m2,worldcover_valid_mapped_area_m2,worldcover_permanent_water_area_m2,worldcover_valid_land_area_m2,worldcover_cropland_area_m2_2020,worldcover_built_class_area_m2_2020,worldcover_valid_coverage_share,worldcover_cropland_share_2020,ghsl_built_surface_m2_2020,ghsl_valid_allocated_area_m2,ghsl_valid_coverage_share,ghsl_built_surface_share_2020,travel_time_city_ge_50k_median_2015,accessibility_valid_area_m2,accessibility_valid_cell_count,accessibility_valid_geometry_coverage_share,accessibility_valid_land_coverage_share,gfd_raw_flooded_allocated_area_m2_before_worldcover_land_mask,gfd_ever_flooded_land_area_m2_2000_2018,gfd_raster_allocated_area_m2,gfd_flooded_pixel_count,gfd_ever_flooded_land_share_2000_2018
Cox's Bazar,BD2022,Cox's Bazar,Chittagong,2172978490.5514364,2178817583.2573586,235352880.05732906,1943464703.2000294,608781072.3452219,30029364.207833115,1.0026871378300852,0.3132452425520401,47468846.42081869,2183662080.0,1.0049165647497285,0.02442485646518737,17.0,2101117073.058694,2842,0.9669295311457472,1.0811192349411238,484471621.4297054,364891009.9927378,2178790323.654875,10363,0.18775283615489555
Cumilla,BD2019,Comilla,Chittagong,3088030491.741038,3095330312.5482,48625781.490761906,3046704531.0574384,1714880774.33537,49970517.448565856,1.0023639082666722,0.5628641559607278,110288448.0577092,3102254592.0,1.0046062046009598,0.036199259538774745,4.0,3094878437.891979,4173,1.0022175772451911,1.0158118079201532,1125487162.579168,1102586169.073704,3095122604.883999,30752,0.36189468254442864
Dhaka,BD3026,Dhaka,Dhaka,1476081470.313267,1479285768.53307,80507656.75463629,1398778111.7784338,636290126.3517746,240761194.47586814,1.0021708139315122,0.45488996503010964,141850041.8417129,1482784512.0,1.004541105502334,0.10140996677547519,0.0,1479113949.044675,2094,1.0020544114890655,1.05743286700712,832594745.7199795,771786315.9520599,1479464164.5066037,27907,0.5517575013886911
Dinajpur,BD5527,Dinajpur,Rangpur,3460164489.5983715,3467000595.397167,22014159.049180392,3444986436.3479867,2658554722.796011,122806348.52614455,1.0019756591975166,0.7717170363127269,72172035.47301798,3474756352.0,1.004217100789715,0.0209498750739719,15.0,3466433076.712756,4778,1.0018116442536846,1.0062254643845578,1336600717.3987827,1326926287.510378,3466889685.841457,60181,0.3851760557051847
Faridpur,BD3029,Faridpur,Dhaka,2043689240.7748897,2048209945.3098183,125072176.45476614,1923137768.8550522,1232037234.0578446,7137858.601881264,1.0022120312837848,0.6406390920143713,35049292.60138206,2053077632.0,1.0045938448164216,0.01822505551552284,10.0,2047543445.4471192,2834,1.0018859054475269,1.0646889050835564,1188823536.87642,1103703067.0975382,2048402625.7188082,36429,0.5739074365715526
Feni,BD2030,Feni,Chittagong,906897670.0553204,909108962.2212292,11119057.502084406,897989904.7191448,419716745.3896204,11995800.475233424,1.00243830394423,0.4673958395121279,26235657.9606174,911137664.0,1.0046752727288637,0.029215983189502404,8.0,905330467.9541879,1301,0.9982719085593892,1.008174438483625,202677156.60380113,197052865.1082254,909076917.3368366,6566,0.21943772872352682
Gaibandha,BD5532,Gaibandha,Rangpur,2166583587.7529182,2170994215.9693503,271602845.30037415,1899391370.6689763,1355867005.0929313,10271855.060063891,1.0020357526205608,0.7138428793721366,32566971.891243994,2175838720.0,1.0042717632956322,0.01714600392217941,16.0,2169798063.1579742,2999,1.0014836609227664,1.1423649157644427,1468058566.535644,1219430928.5509279,2170795300.319535,43696,0.6420114081709435
Gazipur,BD3033,Gazipur,Dhaka,1817139288.5884645,1821227142.869978,17517880.61577768,1803709262.2542002,655606685.4314535,91497074.06111236,1.0022496097614448,0.3634769190086121,87888132.48259711,1825299072.0,1.0044904556644494,0.04872632985914715,4.0,1820965434.1234639,2489,1.002105587369679,1.0095670473231908,316208144.74940825,307750903.8127261,1821204743.7295525,11667,0.1706211251740826
Gopalganj,BD3035,Gopalganj,Dhaka,1475924939.437331,1479148710.7383327,16669246.567226807,1462479464.1711059,1000806069.9793149,4253547.082571099,1.0021842379750225,0.6843214516837985,20166631.99341856,1482809856.0,1.004664814841664,0.013789343705313815,14.0,1478425640.1033044,2064,1.0016943278070272,1.0109035212615696,478474256.3646734,472510402.0737911,1479339613.5525248,15997,0.32308857228405413
Habiganj,BD6036,Habiganj,Sylhet,2582433713.034591,2588120904.619312,22915731.51519586,2565205173.104116,1720736183.140619,15467874.423620814,1.0022022604320935,0.6707986562565607,37565842.78663591,2589932160.0,1.002903635794236,0.014644381346377083,16.0,2587086785.874554,3570,1.0018018169513807,1.008530160861932,1616703101.8770428,1596999127.3892336,2588046391.4586077,46477,0.6225619471430931
Jamalpur,BD4539,Jamalpur,Mymensingh,2065676301.6910264,2069836323.936603,130126398.22390656,1939709925.7126966,1383113438.2536025,23358314.71261848,1.0020138790584814,0.7130516887701202,38943361.998081125,2074526208.0,1.0042842657882693,0.020076899892014725,12.0,2069962471.5953312,2904,1.0020749475127326,1.0671505281052664,1385900713.058297,1264291273.2530057,2069863679.6287344,48223,0.6517939906857333
Jashore,BD4041,Jessore,Khulna,2584932727.8866644,2591195849.7296095,60213763.85141294,2530982085.8781967,1488126524.5629725,36478490.6990017,1.0024229341736353,0.5879640685195227,60204819.4341905,2596989952.0,1.0046644247191658,0.02378713771626744,12.0,2590629439.6046686,3571,1.0022038143029979,1.023566881037712,645099099.5931859,597835360.8628716,2591123063.290776,24146,0.2362068717113956
Jhalokati,BD1042,Jhalokati,Barisal,738751917.2375888,740605952.438942,38288075.233530864,702317877.2054111,296570792.67869675,2536619.998162233,1.002509685806686,0.42227430385052966,7328043.526225178,742256320.0,1.0047436800915728,0.010434083716313975,15.0,720074472.6979909,1034,0.9747175687754038,1.0252828470823425,17962462.5290967,13000015.673078477,740522384.9158294,1084,0.018510159138774542
Jhenaidah,BD4044,Jhenaidah,Khulna,1956105640.6794631,1960712118.1281033,7486499.10018787,1953225619.0279155,1226415745.1481385,12362553.401515689,1.0023549226344646,0.6278925144134159,31532823.118056588,1965059072.0,1.0045771716692289,0.01614397374828101,15.0,1958930347.0544276,2720,1.0014440459227874,1.0029206702855717,436995293.3742075,433501642.99461305,1960460640.023037,16270,0.22194140747056085
Joypurhat,BD5038,Joypurhat,Rajshahi,960249724.6528069,962240282.1204597,254470.90903914158,961985811.2114205,741799168.0650117,16558047.529198866,1.0020729581238594,0.7711123796419309,27313884.48201903,964386688.0,1.004308216124393,0.028393230091016505,18.0,960924507.256552,1364,1.000702715748228,0.9988967571636717,482812300.82550585,482778503.13324314,962240028.3221061,15930,0.5018561578629567
Khagrachhari,BD2046,Khagrachhari,Chittagong,2855544419.5098424,2862426197.9369926,696465.6092678803,2861729732.327725,226920038.94304705,3119786.7814258146,1.0024099707152625,0.07929471339645718,20449044.531439938,2868828416.0,1.0046520013484637,0.007145693843983907,54.0,2860830014.024996,3864,1.0018509936245574,0.9996856033284467,12944145.9055065,12636888.649404317,2861937789.1135283,1801,0.004415821839026531
Khulna,BD4047,Khulna,Khulna,3625144095.152934,3634302067.616443,558593400.6078143,3075708667.008629,1146197848.7390242,38781259.96336639,1.002526236812422,0.37266138403602206,42436300.39778385,3642411264.0,1.0047631675855735,0.013797243169671375,37.0,3516551086.6315346,4778,0.9700444987368652,1.1433303564643722,1348378435.9914439,982646298.7504505,3634160102.2236233,39742,0.31948614291422867
Kishoreganj,BD3048,Kishoreganj,Dhaka,2564920362.224455,2570565321.3548822,108889657.19200139,2461675664.162881,1787839063.94913,16742478.421466187,1.0022008321246791,0.7262691385288987,38705333.49788529,2576290608.0,1.0044329819915672,0.015723165346823807,9.0,2566766772.6848316,3517,1.0007198704831426,1.0426908833084183,1802034955.0095916,1739387564.0153203,2570548571.106948,50509,0.7065868137453508
Kurigram,BD5549,Kurigram,Rangpur,2275724012.6738772,2280152412.346456,430789648.72479284,1849362763.621663,1192651686.7893782,16441424.220123626,1.0019459300195965,0.6448987241712233,37457398.298085794,2285252608.0,1.0041870610289545,0.02025421893146147,25.0,2279955887.4074326,3262,1.001859572913933,1.2328332397817539,1825678989.3783953,1444792343.8509684,2280151945.4361973,53360,0.781237933558037
Kushtia,BD4050,Kushtia,Khulna,1614728442.1963608,1618409830.967921,103167927.00480059,1515241903.9631205,927512377.9266663,19503637.251910962,1.0022798810470896,0.6121216523254501,46466637.59914401,1622002816.0,1.0045050137308194,0.030666151376628616,10.0,1616273813.9228249,2265,1.000957047442827,1.0666770828443004,363645598.6670001,287433574.2319569,1618378197.4828632,15314,0.18969484244078347
Lakshmipur,BD2051,Lakshmipur,Chittagong,1243732385.6424136,1246787578.8201118,113776959.75974457,1133010619.060367,458844786.81289834,4706582.395094918,1.002456471515068,0.40497836392162795,15681437.615878694,1249573632.0,1.0046965459973685,0.013840503656429705,10.0,1222371287.969702,1696,0.9828250048649508,1.0788701071340743,293316340.23742586,216681874.20458815,1246685977.2223194,9402,0.19124434542748384
Lalmonirhat,BD5552,Lalmonirhat,Rangpur,1274913825.9380128,1277331023.14525,66889250.2334238,1210441772.9118264,836582691.785573,8836479.272212908,1.0018959690906628,0.6911383186760799,21275943.017959062,1280174336.0,1.0041261691221497,0.017577006588906686,14.0,1275467949.442322,1956,1.00043463604601,1.0537210281284901,519555112.1637683,456001147.7295338,1277287896.3388033,27747,0.37672291053916795
